Title	shield	magnetic	sure	idea	put	guy	land	cannot	bill	video	great	technology	water	moon	heat	start	love	s	look	might	u	people	wonder	makes	exploration	don	solar	anyone	energy	planet	like	years	nothing	tell	please	space	back	want	human	lot	gravity	orbit	right	sol	would	things	bring	colonizing	could	mission	still	ships	atmosphere	something	need	re	thing	stupid	rocket	real	humans	called	dream	ship	first	mars	easier	see	question	plan	colonization	t	let	low	there	that	get	much	best	resources	enough	time	hate	come	surface	even	return	it	can	oxygen	learn	life	long	make	world	way	fuel	without	going	big	colony	cold	probably	send	said	every	know	build	future	living	bad	humanity	take	good	earth	better	launch	air	new	think	live	us	sounds	help	money	many	use	you	believe	man	really	field	lunar	radiation	musk	game	well	yes	also	problem	around	go	colonize	die	base	far	we	system	one
COLONIZE MARS (Documentary)	0	2	0	1	0	0	1	0	0	0	1	1	1	0	0	0	0	1	1	2	0	1	0	0	0	0	1	2	2	3	4	2	0	0	0	2	0	1	1	0	2	0	0	0	3	0	1	1	1	0	1	0	0	2	0	1	0	0	0	1	2	1	0	0	0	15	0	0	0	0	0	1	2	1	0	0	1	0	1	1	0	3	0	1	0	2	0	0	0	0	0	2	2	2	0	1	0	0	1	1	2	0	0	0	0	0	0	0	0	1	0	0	4	0	6	0	0	1	1	0	1	3	0	0	2	0	0	0	1	0	0	2	0	1	0	0	0	0	0	1	1	2	1	0	0	0	1	1	0
Elon Musk's BIG Mars Colonization Plan - TechNewsDay	0	0	0	0	0	1	0	2	0	0	1	0	0	1	0	1	0	3	2	0	0	1	0	1	0	1	0	0	0	1	2	0	0	0	0	2	0	0	0	0	0	0	1	0	3	0	0	0	0	1	1	2	0	0	1	0	2	0	0	0	1	0	0	0	1	1	0	0	0	1	1	4	1	0	0	0	2	0	0	0	0	0	0	0	0	1	0	1	2	0	0	0	0	3	0	1	0	0	0	1	1	0	0	0	2	0	1	1	0	2	0	1	0	1	0	0	0	0	2	3	1	0	1	0	1	0	0	1	0	0	2	0	0	3	3	0	1	0	0	0	0	1	1	1	0	0	0	1	0
Martian Colonization : How to Live on Mars	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Mars Colonization E01 - First launch of the Interplanetary Transport System (SpaceX ITS in KSP)	0	0	0	1	1	0	1	0	0	0	3	0	1	0	1	0	2	0	0	0	0	0	0	0	0	1	0	2	0	0	1	0	1	0	1	2	0	0	0	0	1	0	0	0	2	0	0	0	3	0	0	0	0	0	1	0	0	0	1	1	0	0	0	2	1	2	0	2	0	0	1	3	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	1	1	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	2	0	0	2	0	0	0	1	0	1	2	0	0	0	2	0	0	0	1	2	1	1	0	3	1	0	0	0	0	0	0	2	1
Michio Kaku - More on Colonizing Mars & Listener Questions	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	1	0	0	1	0	0	0	0	0	3	0	0	1	0	0	1	0	0	0	0	3	0	0	0	0	0	1	0	0	0	2	0	2	0	0	0	1	1	0	0	0	1	0	1	0	2	1	1	0	1	0	1	2	1	0	0	2	1	0	2	0	0	1	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	1	1	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	2	0	1
Will SpaceX Be the First to Colonize Mars?	0	2	0	0	0	0	1	0	0	0	1	4	0	0	0	0	0	6	0	0	3	1	0	0	0	0	1	0	0	0	2	2	0	0	0	4	0	1	0	1	0	2	0	0	2	0	0	3	0	2	0	0	0	0	0	1	1	0	1	0	0	0	0	0	5	10	0	1	0	0	0	2	0	0	3	1	1	2	4	3	0	3	0	0	0	0	1	2	1	0	2	0	0	3	0	2	1	0	0	1	0	0	1	3	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	1	0	0	2	1	1	0	0	1	0	1	1	0	1	1	0	0	0	4	2	1	1	0	0	0	1
Elon Musk reveals grand plan to colonize Mars (CNET News)	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	3	1	0	1	2	0	0	0	1	0	0	1	2	1	0	0	0	0	2	0	2	1	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	1	1	0	0	0	0	0	0	0	1	1	5	0	0	0	2	0	1	0	0	1	0	2	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	4	0	1	1	1	1	1	1	0	0	0	0	0	1	0	0	1	0	0	0	3	0	0	0	0	0	1	2	2	1	0	1	0	0	0
Colonizing Mars | StarTalk	0	2	0	1	0	0	1	1	0	0	0	0	3	3	0	0	0	3	0	0	2	5	0	0	0	3	1	0	0	0	2	0	0	0	1	2	0	2	0	1	0	0	0	0	2	0	0	1	0	1	0	0	1	2	2	2	2	2	2	1	0	0	0	0	2	10	0	3	1	1	1	10	1	0	0	0	1	0	0	0	0	1	0	0	0	5	0	3	4	2	0	1	2	1	1	3	0	2	1	0	0	0	0	0	0	0	2	0	1	4	2	0	1	1	1	1	0	0	0	3	2	0	0	0	0	1	2	1	1	2	1	1	0	1	0	0	0	0	1	0	1	4	0	0	0	0	2	0	1
Should We Colonize Venus Instead of Mars? | Space Time | PBS Digital Studios	0	1	0	0	0	0	0	0	0	0	1	0	2	1	0	0	0	7	0	0	0	0	0	0	1	2	0	0	0	0	1	0	2	0	0	2	1	0	0	0	1	0	0	0	6	0	0	1	4	0	3	0	1	0	3	1	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	5	2	0	1	2	0	1	0	2	0	1	0	2	1	1	0	0	1	0	0	0	0	3	5	2	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	4	0	0	0	0	1	1	2	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	1	3	0	0	0	2	0	2
Mars Colonization E04 - Setting up a Mars colony (SpaceX ITS in KSP)	0	2	0	3	0	0	0	0	0	1	1	0	0	1	0	0	5	4	3	1	0	1	0	1	0	1	1	0	1	5	1	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	1	2	0	0	1	0	4	0	1	0	0	0	0	0	0	0	3	7	1	0	0	1	2	4	0	1	0	1	1	4	1	0	0	1	0	0	0	1	0	1	2	0	0	0	0	3	0	1	0	0	1	0	1	0	0	0	0	0	2	0	0	0	0	0	0	6	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	1	0	0	2	0	2	1	0	1	1	0
